Draft at mid-Hold(m),Max. sea (MT),Max. harbour (MT),Min. sea (MT),Min. harbour (MT),Hold
0,19733,24975,0,0,1
8.56,26700,32300,0,0,1
8.57,26730,32360,0,0,1
9.73,27500,33190,0,0,1
9.77,27600,33200,0,0,1
9.79,27700,33250,0,0,1
12.06,30000,33250,0,0,1
14.94,32200,33250,0,0,1
15.93,32950,33250,0,0,1
15.95,33100,33250,0,0,1
15.99,33250,33250,0,0,1
20,33250,33250,4278,0,1
0,11702,15332,0,0,2
8.56,20800,24200,0,0,2
8.57,20830,24200,0,0,2
9.73,21900,24200,0,0,2
9.77,21990,24200,0,0,2
9.79,22100,24200,0,0,2
12.06,24200,24200,0,0,2
14.94,24200,24200,0,0,2
15.93,24200,24200,0,0,2
15.95,24200,24200,0,0,2
15.99,24200,24200,0,0,2
20,24200,24200,0,0,2
0,21993,27835,0,0,3
8.56,30010,36000,0,0,3
8.57,30080,36050,0,0,3
9.73,31200,37000,0,0,3
9.77,31350,37000,0,0,3
9.79,31450,37000,0,0,3
12.06,33900,37000,0,0,3
14.94,36010,37000,0,0,3
15.93,37000,37000,0,0,3
15.95,37000,37000,0,0,3
15.99,37000,37000,0,0,3
20,37000,37000,4767,0,3
0,11675,15305,0,0,4
8.56,20950,24130,0,0,4
8.57,20990,24200,0,0,4
9.73,21800,24200,0,0,4
9.77,21900,24200,0,0,4
9.79,22000,24200,0,0,4
12.06,24200,24200,0,0,4
14.94,24200,24200,0,0,4
15.93,24200,24200,0,0,4
15.95,24200,24200,0,0,4
15.99,24200,24200,0,0,4
20,24200,24200,0,0,4
0,21992,27834,0,0,5
8.56,30000,35900,0,0,5
8.57,30100,35950,0,0,5
9.73,31300,37000,0,0,5
9.77,31400,37000,0,0,5
9.79,31500,37000,0,0,5
12.06,32800,37000,0,0,5
14.94,36000,37000,0,0,5
15.93,37000,37000,0,0,5
15.95,37000,37000,0,0,5
15.99,37000,37000,0,0,5
20,37000,37000,4768,0,5
0,11420,14960,0,0,6
8.56,20000,23600,0,0,6
8.57,20050,23600,0,0,6
9.73,21700,23600,0,0,6
9.77,21800,23600,0,0,6
9.79,21900,23600,0,0,6
12.06,23600,23600,0,0,6
14.94,23600,23600,0,0,6
15.93,23600,23600,0,0,6
15.95,23600,23600,0,0,6
15.99,23600,23600,0,0,6
20,23600,23600,0,0,6
0,21988,27830,0,0,7
8.56,30000,36000,0,0,7
8.57,30050,36050,0,0,7
9.73,31100,37000,0,0,7
9.77,31200,37000,0,0,7
9.79,31300,37000,0,0,7
12.06,32900,37000,0,0,7
14.94,36000,37000,0,0,7
15.93,37000,37000,0,0,7
15.95,37000,37000,0,0,7
15.99,37000,37000,0,0,7
20,37000,37000,4768,0,7
0,11601,15201,0,0,8
8.56,20600,24000,0,0,8
8.57,20650,24000,0,0,8
9.73,22100,24000,0,0,8
9.77,22200,24000,0,0,8
9.79,22300,24000,0,0,8
12.06,24000,24000,0,0,8
14.94,24000,24000,0,0,8
15.93,24000,24000,0,0,8
15.95,24000,24000,0,0,8
15.99,24000,24000,0,0,8
20,24000,24000,0,0,8
0,18671,23643,0,0,9
8.56,25500,30500,0,0,9
8.57,25560,30550,0,0,9
9.73,26700,31400,0,0,9
9.77,26800,31500,0,0,9
9.79,26900,31500,0,0,9
12.06,27950,31500,0,0,9
14.94,30600,31500,0,0,9
15.93,31400,31500,0,0,9
15.95,31500,31500,0,0,9
15.99,31500,31500,0,0,9
20,31500,31500,4070,0,9
