Frame,Xap,limitsfpos,limitSFnegSEA,limitbmhog,limitBMsagSEA,limitTMSEA,secI,secA,limitSFposHRB,limitSFnegHRB,limitBMhogHRB,limitBMsagHRB,limitTMHRB
38,33.1,79600.57805,-48199.68475,1812200.273,-1535799.843,0,286,1.25,96595.5025,-66096.821,2749598.334,-2520201.177,0
52.5,46.05,0,0,2628976.539,-2227943.394,0,286,1.25,0,0,3988668.561,-3656046.606,0
67,59.2,117297.3407,-71500.28515,3445301.698,-2919802.551,0,324,1.41,149698.5123,-105499.9407,5227297.489,-4791303.637,0
81.5,72.15,0,0,4262077.963,-3612044.168,0,324,1.41,0,0,6466524.623,-5927188.293,0
96,85.3,45100.78335,-116601.0685,5078295.249,-4303795.452,0,324,1.41,77501.95495,-150698.7906,7704898.579,-7062298.224,0
110.5,98.25,0,0,5180343.249,-4390290.105,0,324,1.41,0,0,8229446.481,-7592406.497,0
125,111.4,88701.14925,-125995.8392,5180000.016,-4389995.906,0,381,1.66,115296.7841,-152797.4137,8651201.077,-8035402.297,0
139.5,124.35,0,0,5180343.249,-4390290.105,0,381,1.66,0,0,8752778.358,-8142039.809,0
154,137.5,86896.72565,-76795.87615,5180000.016,-4389995.906,0,381,1.66,112796.0883,-102695.2388,8752199.765,-8141500.443,0
168.5,150.45,0,0,5180343.249,-4390290.105,0,381,1.66,0,0,8752778.358,-8142039.809,0
183,163.6,76599.74315,-67195.1658,5180000.016,-4389995.906,0,381,1.66,102499.1058,-93104.3351,8752199.765,-8141500.443,0
197.5,176.55,0,0,5180343.249,-4390290.105,0,381,1.66,0,0,8752778.358,-8142039.809,0
212,189.7,77796.15445,-85200.1752,5180000.016,-4389995.906,0,324,1.41,111795.81,-117895.5463,8523400.814,-7901198.292,0
226.5,202.65,0,0,4839925.008,-4101768.656,0,324,1.41,0,0,7700907.272,-7106369.309,0
241,215.8,124603.2949,-53603.1489,4023099.709,-3409497.619,0,324,1.41,161603.7854,-88897.28225,6401202.528,-5906996.401,0
255.5,228.75,0,0,3206813.777,-2717677.688,0,324,1.41,0,0,5102341.155,-4708408.025,0
270,241.9,49602.0357,-113100.0945,2390096.351,-2025504.718,0,286,1.25,83797.82425,-145599.3326,3802901.19,-3509299.896,0
284.5,254.85,0,0,1573604.479,-1333684.787,0,286,1.25,0,0,2503863.298,-2310554.613,0
299,267.8,33695.6494,-51602.5923,757043.9601,-641904.0824,0,286,1.25,44502.5777,-61899.5748,1204501.786,-1111495.518,0
