Tank name ,Mapping Tank name
FORE PEAK T.(C),FORE PEAK T.(C)
NO.1 W.B.T.P,NO.1 W.B.T.S
NO.1 W.B.T.S,NO.1 W.B.T.P
NO.2 W.B.T.P,NO.2 W.B.T.S
NO.2 W.B.T.S,NO.2 W.B.T.P
NO.3 W.B.T.P,NO.3 W.B.T.S
NO.3 W.B.T.S,NO.3 W.B.T.P
NO.4 W.B.T.P,NO.4 W.B.T.S
NO.4 W.B.T.S,NO.4 W.B.T.P
NO.5 W.B.T.P,NO.5 W.B.T.S
NO.5 W.B.T.S,NO.5 W.B.T.P
NO.6 W.B.T.P INC.D.W.S.T.P,NO.6 W.B.T.S (INC.D.W.S.T.S
NO.6 W.B.T.S (INC.D.W.S.T.S,NO.6 W.B.T.P INC.D.W.S.T.P
NO.6 W.B.T.P(EXC.D.W.S.T.P,NO.6 W.B.T.S(EXC.D.W.S.T.S
NO.6 W.B.T.S(EXC.D.W.S.T.S,NO.6 W.B.T.P(EXC.D.W.S.T.P
D. W. S. T. P,D. W. S. T. S
D. W. S. T. S,D. W. S. T. P
AFT PEAK T.(C),AFT PEAK T.(C)
NO.2 C.H./W.B.T.,NO.2 C.H./W.B.T.
NO.4 C.H./W.B.T.,NO.4 C.H./W.B.T.
NO.6 C.H./W.B.T.,NO.6 C.H./W.B.T.
NO.8 C.H./W.B.T.,NO.8 C.H./W.B.T.
NO.1 F.O./M.G.O.T.(P),NO.1 F.O./M.G.O.T.(S)
NO.1 F.O./M.G.O.T.(S),NO.1 F.O./M.G.O.T.(P)
NO.2 FUEL OIL T.(P),NO.2 FUEL OIL T.(S)
NO.2 FUEL OIL T.(S),NO.2 FUEL OIL T.(P)
DIESEL OIL T.(P),DIESEL OIL T.(S)
DIESEL OIL T.(S),DIESEL OIL T.(P)
FRESH WATER T.(P),FRESH WATER T.(P)
DRINK WATER T.(S),DRINK WATER T.(S)
S.T.C.F.W.T. (C),S.T.C.F.W.T. (C)
L.O. SUMP T. (c),L.O. SUMP T. (c)
F.O. OVERFLOW T. (c),F.O. OVERFLOW T. (c)
NO.1 H.F.O. SETT.T. (s),NO.1 H.F.O. SETT.T. (s)
NO.2 H.F.O. SETT.T. (S),NO.2 H.F.O. SETT.T. (S)
NO.1 H.F.O. SERV.T. (S),NO.1 H.F.O. SERV.T. (S)
NO.2 H.F.O. SERV.T. (S),NO.2 H.F.O. SERV.T. (S)
SEWAGE HOLD. T. (P),SEWAGE HOLD. T. (P)
CLEAN DRAIN T. (P),CLEAN DRAIN T. (P)
BILGE SEP. OIL T. (c),BILGE SEP. OIL T. (c)
BILGE T. (c),BILGE T. (c)
MEN&EFFECTS,MEN&EFFECTS
PROVISIONS,PROVISIONS
STORES(aft.),STORES(aft.)
STORES(acc.&mach.),STORES(acc.&mach.)
STORES(mid.),STORES(mid.)
STORES(fore),STORES(fore)
HULLPART’SW.&O.,HULLPART’SW.&O.
MACH.PART’SW.&O.,MACH.PART’SW.&O.
COOL.F.W.T.(C),COOL.F.W.T.(C)
