CATEGORY,ITEMS,FRAMES,Dist. From AP,Ratio,LCG(mid) in SFBMCalc,LCG(from AP) in SFBMCalc,From Frame,To Frame,Aft Dist from AP (m),Fwd Dist from AP (m),LCG (m) from AP,VCG (m),FSM
CARGO,HOLD 1,218,185.94,1,87.94,198.94,218,249,185.94,212.755,198.9,11.19,56903.695
CARGO,HOLD 2,186,158.26,1,61.61,172.6,186,218,158.26,185.94,172.6,10.88,79345.7625
CARGO,HOLD 3,156,132.31,1,34.24,145.24,156,186,132.31,158.26,145.2,10.88,77025.47
CARGO,HOLD 4,127,107.225,1,8.76,119.76,127,156,107.225,132.31,119.8,10.95,68881.7425
CARGO,HOLD 5,96,80.41,1,-16.69,94.31,96,127,80.41,107.225,94.3,10.86,77348.755
CARGO,HOLD 6,65,53.595,1,-43.58,67.42,65,96,53.595,80.41,67.4,10.89,76897.755
CARGO,HOLD 7,32,25.05,1,-70.93,40.07,32,65,25.05,53.595,40.1,11.34,84140.405
WB,FORE PEAK TANK,249,212.755,1,106.58,217.58,249,264,212.755,225.73,217.6,4.98,4870.8
WB,NO. 1 T. & BTM. W. B. TK. P,218,185.94,1,88.79,199.8,218,249,185.94,212.755,199.8,8.04,12095.6355
WB,NO. 1 T. & BTM. W. B. TK. S,218,185.94,1,88.79,199.8,218,249,185.94,212.755,199.8,8.04,12095.6355
WB,NO. 2 T. S. & BTM. W. B. TK. P,218,185.94,0.086,76.24,187.2,186,221,158.26,188.535,173.4,8.61,19169.49875
WB,NO. 2 T. S. & BTM. W. B. TK. S,218,185.94,0.086,76.24,187.2,186,221,158.26,188.535,173.4,8.61,19169.49875
WB,NO. 2 T. S. & BTM. W. B. TK. P,186,158.26,0.914,61.11,172.1,186,221,158.26,188.535,173.4,8.61,19169.49875
WB,NO. 2 T. S. & BTM. W. B. TK. S,186,158.26,0.914,61.11,172.1,186,221,158.26,188.535,173.4,8.61,19169.49875
WB,NO. 3 S. & BTM. W. B. TK. P,186,158.26,0.049,48.56,159.6,127,189,107.225,160.855,134.1,8.56,36383.564
WB,NO. 3 S. & BTM. W. B. TK. S,186,158.26,0.049,48.56,159.6,127,189,107.225,160.855,134.1,8.56,36383.564
WB,NO. 3 S. & BTM. W. B. TK. P,156,132.31,0.485,34.29,145.3,127,189,107.225,160.855,134.1,8.56,36383.564
WB,NO. 3 S. & BTM. W. B. TK. S,156,132.31,0.485,34.29,145.3,127,189,107.225,160.855,134.1,8.56,36383.564
WB,NO. 3 S. & BTM. W. B. TK. P,127,107.225,0.467,8.77,119.8,127,189,107.225,160.855,134.1,8.56,36383.564
WB,NO. 3 S. & BTM. W. B. TK. S,127,107.225,0.467,8.77,119.8,127,189,107.225,160.855,134.1,8.56,36383.564
WB,NO. 4 T. S. & BTM. W. B. TK. P,127,107.225,0.059,-2.47,108.5,65,130,53.595,109.82,84.5,6.63,37713.3375
WB,NO. 4 T. S. & BTM. W. B. TK. S,127,107.225,0.059,-2.47,108.5,65,130,53.595,109.82,84.5,6.63,37713.3375
vv,NO. 4 CARGO HOLD (W. B.),127,107.225,1,8.75,119.8,127,156,107.225,132.31,119.8,10.97,70603.7835
WB,NO. 4 T. S. & BTM. W. B. TK. P,96,80.41,0.537,-16.63,94.4,65,130,53.595,109.82,84.5,6.63,37713.3375
WB,NO. 4 T. S. & BTM. W. B. TK. S,96,80.41,0.537,-16.63,94.4,65,130,53.595,109.82,84.5,6.63,37713.3375
WB,NO. 4 T. S. & BTM. W. B. TK. P,65,53.595,0.404,-43.26,67.7,65,130,53.595,109.82,84.5,6.63,37713.3375
WB,NO. 4 T. S. & BTM. W. B. TK. S,65,53.595,0.404,-43.26,67.7,65,130,53.595,109.82,84.5,6.63,37713.3375
WB,NO. 5 T. S. & BTM. W. B. TK. / COLLECT TK. P,65,53.595,0.078,-56.54,54.5,32,67,25.05,55.325,39.7,5.14,9305.1755
WB,NO. 5 T. S. & BTM. W. B. TK. / COLLECT TK. S,65,53.595,0.078,-56.54,54.5,32,67,25.05,55.325,39.7,5.14,9305.1755
FO,NO. 1 FUEL OIL TK. P,65,53.595,1,-44.02,66.98,65,96,53.595,80.41,66.98,18.75,1600.0094
FO,NO. 1 FUEL OIL TK. S,65,53.595,1,-44.02,66.98,65,96,53.595,80.41,66.98,18.75,1600.0094
WB,NO. 5 T. S. & BTM. W. B. TK. / COLLECT TK. P,32,25.05,0.922,-72.13,38.9,32,67,25.05,55.325,39.7,5.14,9305.1755
WB,NO. 5 T. S. & BTM. W. B. TK. / COLLECT TK. S,32,25.05,0.922,-72.13,38.9,32,67,25.05,55.325,39.7,5.14,9305.1755
FO,NO. 2 FUEL OIL TK. P,32,25.05,1,-71.7,39.29,32,65,25.05,53.595,39.29,71.7,1703.16795
FO,NO. 2 FUEL OIL TK. S,32,25.05,1,-71.7,39.29,32,65,25.05,53.595,39.29,71.7,1703.16795
