Tank Name,POSITION,TankIndex,Hold No
FORE PEAK TANK C,F,1,0
NO.1 WATER BALLAST TANK (P),F,2,1
NO.1 WATER BALLAST TANK (S),F,2,1
NO.2 WATER BALLAST TANK (P),F,3,2
NO.2 WATER BALLAST TANK (S),F,3,2
NO.3 WATER BALLAST TANK (P),M,1,3
NO.3 WATER BALLAST TANK (S),M,1,3
NO.4 WATER BALLAST TANK (P),A,4,4
NO.4 WATER BALLAST TANK (S),A,4,4
NO.5 WATER BALLAST TANK (P),A,2,5
NO.5 WATER BALLAST TANK (S),A,2,5
NO.5 T. S. T. /COLL. TANK (P),A,3,5
NO.5 T. S. T. /COLL. TANK (S),A,3,5
AFT PEAK TANK C,A,1,0
NO.3 HOLD (W.B),M,2,3
