Vessel,Frame_number,"Midframe(0,1)",EndFrame,Distprevframe,DistFromAft,Framepostionafp,mid_ship_distance_from_AP,UDDraftMDegree,UDDraftMConst
SMB,109,0,1,19.8,303.85,11,19.8,2,"0.16499566101311652,6.827321926930049e-05,-1.8873083335242086e-11"
SMB,105,0,0,19.8,284.05,10,19.8,2,"0.16499566101311652,6.827321926930049e-05,-1.8873083335242086e-11"
SMB,101,0,0,27.225,264.25,9,27.225,2,"0.16499566101311652,6.827321926930049e-05,-1.8873083335242086e-11"
SMB,95.5,0,0,27.225,237.025,8,27.225,2,"0.16499566101311652,6.827321926930049e-05,-1.8873083335242086e-11"
SMB,90,0,0,27.225,209.8,7,27.225,2,"0.16499566101311652,6.827321926930049e-05,-1.8873083335242086e-11"
SMB,84.5,1,0,27.225,182.575,6,27.225,2,"0.16499566101311652,6.827321926930049e-05,-1.8873083335242086e-11"
SMB,79,0,0,27.225,155.35,5,27.225,2,"0.16499566101311652,6.827321926930049e-05,-1.8873083335242086e-11"
SMB,73.5,0,0,27.225,128.125,4,27.225,2,"0.16499566101311652,6.827321926930049e-05,-1.8873083335242086e-11"
SMB,68,0,0,28.71,100.9,3,28.71,2,"0.16499566101311652,6.827321926930049e-05,-1.8873083335242086e-11"
SMB,62.2,0,0,29.19,72.19,2,29.19,2,"0.16499566101311652,6.827321926930049e-05,-1.8873083335242086e-11"
SMB,56,0,0,43,43,1,43,2,"0.16499566101311652,6.827321926930049e-05,-1.8873083335242086e-11"
