cargowt,Ballestwt,LightWeight,WC
0,124544,33177,2500
10000,133054,33177,2500
20000,133054,33177,2500
30000,133054,33177,2500
40000,133054,33177,2500
50000,133054,33177,2500
60000,133054,33177,2500
70000,124544,33177,2500
80000,124544,33177,2500
90000,124544,33177,2500
100000,95000,33177,2500
110000,95000,33177,2500
120000,95000,33177,2500
130000,95000,33177,2500
140000,95000,33177,2500
150000,95000,33177,2500
160000,75000,33177,2500
170000,75000,33177,2500
180000,95000,33177,2500
190000,95000,33177,2500
200000,50000,33177,2500
210000,50000,33177,2500
220000,50000,33177,2500
230000,10000,33177,2500
240000,5000,33177,2500
250000,0,33177,2500
260000,0,33177,2500
